"Pais","Total","Cerveja","Destiladas","Vinho","Outras"
"Afghanistan",0.01,0,0.01,0,0
"Albania",4.44,1.75,1.5,1.12,0.08
"Algeria",0.59,0.31,0.08,0.2,0
"Andorra",10.72,3.5,2.33,4.81,0
"Angola",6.15,3.78,1.65,0.64,0.08
"Antigua and Barbuda",11.28,2.97,4.29,3.6,0.41
"Argentina",7.95,3.62,0.72,2.88,0.72
"Armenia",3.69,0.52,2.83,0.33,0.01
"Australia",9.51,3.71,1.32,3.67,0.81
"Austria",11.6,6.1,1.9,3.6,0
"Azerbaijan",0.88,0.34,0.39,0.15,0.01
"Bahamas",9.3,3.66,4.04,1.3,0.3
"Bahrain",1.2,0.4,0.69,0.1,0.02
"Bangladesh",0,0,0,0,0
"Barbados",9.99,3.66,4.78,1.39,0.16
"Belarus",10.08,2.18,4.52,0.9,2.48
"Belgium",9.22,4.4,1.1,3.41,0.31
"Belize",5.95,3.88,1.24,0.7,0.14
"Benin",1.26,0.81,0.2,0.04,0.22
"Bhutan",0.07,0.01,0,0.05,0
"Bolivia (Plurinational State of)",3,2.22,0.56,0.14,0.08
"Bosnia and Herzegovina",5.44,4.19,0.61,0.47,0.17
"Botswana",5.89,2.93,0.96,0.36,1.64
"Brazil",6.19,3.84,2.07,0.24,0.04
"Brunei Darussalam",0.69,0.66,0,0.04,0
"Bulgaria",11.53,4.44,4.85,2.07,0.17
"Burkina Faso",7.25,1,0.31,0.06,5.88
"Burundi",4.07,1.84,0,0,2.23
"Cabo Verde",4.9,2.28,0.6,2.02,0
"Cambodia",4.56,4.12,0.42,0.02,0
"Cameroon",4.1,2.36,0.01,0.17,1.56
"Canada",8.1,3.6,2.1,2.1,0.3
"Central African Republic",0.94,0.55,0.02,0.04,0.33
"Chad",0.55,0.37,0.01,0.01,0.16
"Chile",7.8,2.76,2.43,2.61,0
"China",4.77,1.66,2.92,0.19,0
"Colombia",4.21,3.09,1.04,0.06,0.02
"Comoros",0.18,0.04,0.07,0.07,0
"Congo",5.64,5.11,0.47,0.05,0.01
"Cook Islands",12.97,3.62,7.07,2.28,0
"Costa Rica",3.28,2.39,0.33,0.16,0.41
"Cote d'Ivoire",1.73,1.13,0.16,0.37,0.07
"Croatia",9.63,4.75,1.36,3.52,0.39
"Cuba",4.76,1.77,2.76,0.23,0.01
"Cyprus",9.59,2.85,4.02,2.72,0
"Czechia",12.73,6.77,3.24,2.73,0
